path,token,en,es,zh
,[global-lang-about],About,Acerca de,关于
,[global-lang-feedback-p],to help us improve this page.,para ayudarnos a mejorar esta página de internet.,为了帮助我们改进本网站。
,[global-lang-feedback],Feedback,Comentarios,评论
,[global-lang-news],News,Noticias,新闻
,[global-lang-official],State of California,Gobierno del Estado de California,加利福尼亚州政府
,[global-lang-share-feedback],share your feedback,comparta sus comentarios,分享您的意见
,[global-lang-state-of-ca],Official California State Government Website,Sitio Web Oficial del Gobierno del Estado de California,加利福尼亚州政府官方网站
,[global-lang-work-in-progress-header],Alpha.CA.gov is a work in progress.,Alpha.CA.gov es un trabajo en progreso.,Alpha.CA.gov是一项正在进行的工作。
,[global-lang-work-in-progress-p-1a],"While we test our website, the information here might not be completely accurate. We welcome",Gracias por ayudarnos a probar nuestro proyecto experimental. Agradecemos,感谢您帮助我们测试的实验项目。谢谢
,[global-lang-work-in-progress-p-1b],your feedback,sus comentarios,您的意见
,[global-lang-work-in-progress-p-1c],Thanks for helping us make government services easier to use.,Gracias por ayudarnos a hacer que los servicios del gobierno sean más fáciles de usar.,感谢您的帮助使政府服务更容易使用。
,[global-lang-work-in-progress-p-2a],"If you need the current site, please","Si necesita el sitio actual,",如果您需要当前网站，
,[global-lang-work-in-progress-p-2b],visit CA.gov,visite CA.gov,访问CA.gov
,[global-please],Please,Por favor,请
,[global-lang-alphabar-p-1a],This website is a,Este sitio web es un,这个网站是一个
,[global-lang-alphabar-p-1b],work in progress,trabajo en progreso,工作正在进行中
,[global-lang-select-language],Select language,Seleccione el idioma,选择语言
,[global-lang-period],.,.,。
,[global-lang-or-lower],or,O,Ø
,[global-lang-or-camel],Or,O,Ø
,[global-lang-and-lower],and,y,和
,[global-lang-show],Show,Mostrar,节目
,[global-lang-hide],Hide,Ocultar,隐藏
,[global-lang-ok],OK,Okay,好
,[global-feedback-link],https://www.surveymonkey.com/r/Alpha-CA-Gov,https://es.surveymonkey.com/r/Alpha-Ca-Gov-Es,https://es.surveymonkey.com/r/Alpha-Ca-Gov-Es
,[global-lang-no-camel],No,No,不
,[global-lang-yes-camel],Yes,si,如果
,[global-lang-contact-us],Contact Us,Contáctenos,联系我们
,[global-lang-next],Next,Próximo,下
,,Show all,Mostrar todo,显示全部
,,Hide all,Ocultar todo,隐藏所有
/,,We're making it easier to find and use government services and information.,Estamos haciendo más fácil de buscar y usar servicios e información del gobierno.,我们更容易发现和使用信息和服务的政府。
/,,Welcome to Alpha.CA.gov,Bienvenido a Alpha.CA.gov,欢迎Alpha.CA.gov
/,,Featured,Servicios Destacados,主要特点
/,,Find the minimum wage in your city,Encuentre el salario mínimo en su ciudad,查找您所在城市最低工资标准
/,,Request a birth certificate,Solicite un acta de nacimiento,申请出生证明
/,,Hire a licensed contractor for home improvements,Contrate a un contratista con licencia para mejorar su hogar,聘请有执照的承包商，以提高你的家
/,,Find food banks near you,Encuentre bancos de alimentos más cercanos,查找附近的粮食银行
/,,State of California employee holidays,Encuentre los días festivos de empleados estatales de California,查找在加利福尼亚州的员工假期
/,,The Alpha website for the State of California.,El sitio web de Alpha para el Estado de California.,阿尔法网站加利福尼亚州。
/,,Alpha.CA.gov - State of California,Alpha.CA.gov - Estado de California,Alpha.CA.gov  - 加利福尼亚州
/,,We're making it easier to find and use government services and information in the State of California.,Estamos haciendo más fácil de buscar y usar servicios e información del gobierno.,我们更容易发现和使用信息和服务的政府。
/,,Apply for a Cal Grant (college financial aid),Solicitar una beca Cal Grant (ayuda financiera para la universidad),申请加州格兰特（上大学助学金）
/,,Contact a state agency,Póngase en contacto con una agencia estatal,联系一个国家机构
/,,Find shelters near you,Encuentra refugios cerca de usted,找住处靠近你
/,,Apply for disability insurance benefits,Solicitar los beneficios de seguro de invalidez,申请伤残保险
/,,Check your tap water quality,Compruebe la calidad del agua del grifo,检查自来水质量
/,,Sign up for local emergency alerts,Inscribirse para recibir alertas de emergencia locales,注册通知当地紧急
,,Apply for a discounted phone service,Solicitar un servicio telefónico con descuento,要求打折电话服务
,,Check if you can get a discounted phone service,Compruebe si se puede obtener un servicio telefónico con descuento,请检查您是否可以享受折扣电话服务
,,Apply for a Cal Grant,Solicitar una beca Cal Grant,申请加州格兰特
/about,,About us,Sobre nosotros,关于我们
/about,,The Alpha website for the State of California.,La página web Alfa para el Estado de California.,阿尔法的网页为加利福尼亚州。
/about,,Follow our progress,Siga nuestro progreso,按照我们的进度
/about,,We're making it easier to find and use government services and information in the State of California.,Estamos haciendo que sea más fácil de encontrar y servicios de uso e información del gobierno en el Estado de California.,我们使它更容易从政府在加利福尼亚州发现和使用服务和信息。
/about,,About Alpha.CA.gov - State of California,Sobre Alpha.CA.gov - Estado de California,关于Alpha.CA.gov  - 加利福尼亚州
